Epoch:  44%|████▍     | 89/200 [39:23<49:30, 26.76s/epoch]Epoch 088 | Learning rate 0.000563 | train normalized MSE   0.2555 | val normalized MSE   0.3147, | val MAE   1.3610 | val MSE   7.8668
Epoch:  45%|████▌     | 90/200 [39:51<49:45, 27.14s/epoch]Epoch 089 | Learning rate 0.000563 | train normalized MSE   0.2572 | val normalized MSE   0.3006, | val MAE   1.3279 | val MSE   7.5148
Epoch:  46%|████▌     | 91/200 [40:20<50:26, 27.77s/epoch]Epoch 090 | Learning rate 0.000563 | train normalized MSE   0.2539 | val normalized MSE   0.3153, | val MAE   1.3738 | val MSE   7.8827
Epoch:  46%|████▌     | 92/200 [40:47<49:39, 27.59s/epoch]Epoch 091 | Learning rate 0.000563 | train normalized MSE   0.2505 | val normalized MSE   0.3106, | val MAE   1.3429 | val MSE   7.7641
Epoch:  46%|████▋     | 93/200 [41:16<49:31, 27.77s/epoch]Epoch 092 | Learning rate 0.000422 | train normalized MSE   0.2517 | val normalized MSE   0.3129, | val MAE   1.3533 | val MSE   7.8236
Epoch:  47%|████▋     | 94/200 [41:44<49:10, 27.84s/epoch]Epoch 093 | Learning rate 0.000422 | train normalized MSE   0.2477 | val normalized MSE   0.3107, | val MAE   1.3226 | val MSE   7.7664
Epoch:  48%|████▊     | 95/200 [42:10<48:12, 27.55s/epoch]Epoch 094 | Learning rate 0.000422 | train normalized MSE   0.2488 | val normalized MSE   0.2954, | val MAE   1.2981 | val MSE   7.3854
Epoch:  48%|████▊     | 96/200 [42:38<47:42, 27.52s/epoch]Epoch 095 | Learning rate 0.000422 | train normalized MSE   0.2523 | val normalized MSE   0.3038, | val MAE   1.3028 | val MSE   7.5960
Epoch:  48%|████▊     | 97/200 [43:05<47:12, 27.50s/epoch]Epoch 096 | Learning rate 0.000422 | train normalized MSE   0.2406 | val normalized MSE   0.3032, | val MAE   1.3192 | val MSE   7.5795
Epoch:  49%|████▉     | 98/200 [43:32<46:26, 27.32s/epoch]Epoch 097 | Learning rate 0.000422 | train normalized MSE   0.2447 | val normalized MSE   0.3037, | val MAE   1.3163 | val MSE   7.5937
Epoch:  50%|████▉     | 99/200 [43:58<45:15, 26.89s/epoch]Epoch 098 | Learning rate 0.000422 | train normalized MSE   0.2411 | val normalized MSE   0.3065, | val MAE   1.3217 | val MSE   7.6633
Epoch:  50%|█████     | 100/200 [44:24<44:20, 26.60s/epoch]Epoch 099 | Learning rate 0.000422 | train normalized MSE   0.2397 | val normalized MSE   0.3168, | val MAE   1.3401 | val MSE   7.9196
Epoch:  50%|█████     | 101/200 [44:51<44:11, 26.78s/epoch]Epoch 100 | Learning rate 0.000316 | train normalized MSE   0.2412 | val normalized MSE   0.3089, | val MAE   1.3326 | val MSE   7.7225
Epoch:  51%|█████     | 102/200 [45:19<44:08, 27.02s/epoch]Epoch 101 | Learning rate 0.000316 | train normalized MSE   0.2364 | val normalized MSE   0.3038, | val MAE   1.3093 | val MSE   7.5940
Epoch:  52%|█████▏    | 103/200 [45:45<43:30, 26.91s/epoch]Epoch 102 | Learning rate 0.000316 | train normalized MSE   0.2320 | val normalized MSE   0.2967, | val MAE   1.2805 | val MSE   7.4164
Epoch:  52%|█████▏    | 104/200 [46:13<43:10, 26.98s/epoch]Epoch 103 | Learning rate 0.000316 | train normalized MSE   0.2311 | val normalized MSE   0.3062, | val MAE   1.3073 | val MSE   7.6556
Epoch:  52%|█████▎    | 105/200 [46:39<42:19, 26.73s/epoch]Epoch 104 | Learning rate 0.000316 | train normalized MSE   0.2274 | val normalized MSE   0.3081, | val MAE   1.3032 | val MSE   7.7025
Epoch:  53%|█████▎    | 106/200 [47:05<41:35, 26.54s/epoch]Epoch 105 | Learning rate 0.000316 | train normalized MSE   0.2274 | val normalized MSE   0.3012, | val MAE   1.2994 | val MSE   7.5300
Epoch:  54%|█████▎    | 107/200 [47:31<40:56, 26.41s/epoch]Epoch 106 | Learning rate 0.000316 | train normalized MSE   0.2260 | val normalized MSE   0.2927, | val MAE   1.2921 | val MSE   7.3167
Epoch:  54%|█████▍    | 108/200 [47:57<40:12, 26.23s/epoch]Epoch 107 | Learning rate 0.000316 | train normalized MSE   0.2297 | val normalized MSE   0.2939, | val MAE   1.2834 | val MSE   7.3478
Epoch:  55%|█████▍    | 109/200 [48:23<39:58, 26.36s/epoch]Epoch 108 | Learning rate 0.000316 | train normalized MSE   0.2246 | val normalized MSE   0.3009, | val MAE   1.3126 | val MSE   7.5231
Epoch:  55%|█████▌    | 110/200 [48:50<39:32, 26.36s/epoch]Epoch 109 | Learning rate 0.000316 | train normalized MSE   0.2285 | val normalized MSE   0.3051, | val MAE   1.3146 | val MSE   7.6277
Epoch:  56%|█████▌    | 111/200 [49:16<39:05, 26.36s/epoch]Epoch 110 | Learning rate 0.000316 | train normalized MSE   0.2282 | val normalized MSE   0.3093, | val MAE   1.3167 | val MSE   7.7313
Epoch:  56%|█████▌    | 112/200 [49:42<38:32, 26.28s/epoch]Epoch 111 | Learning rate 0.000316 | train normalized MSE   0.2273 | val normalized MSE   0.2924, | val MAE   1.2874 | val MSE   7.3104
Epoch:  56%|█████▋    | 113/200 [50:08<38:03, 26.25s/epoch]Epoch 112 | Learning rate 0.000316 | train normalized MSE   0.2269 | val normalized MSE   0.2980, | val MAE   1.2762 | val MSE   7.4504
Epoch:  57%|█████▋    | 114/200 [50:34<37:33, 26.21s/epoch]Epoch 113 | Learning rate 0.000316 | train normalized MSE   0.2244 | val normalized MSE   0.3064, | val MAE   1.3053 | val MSE   7.6609
Epoch:  57%|█████▊    | 115/200 [51:01<37:08, 26.22s/epoch]Epoch 114 | Learning rate 0.000316 | train normalized MSE   0.2268 | val normalized MSE   0.3054, | val MAE   1.3223 | val MSE   7.6342
Epoch:  58%|█████▊    | 116/200 [51:27<36:42, 26.22s/epoch]Epoch 115 | Learning rate 0.000316 | train normalized MSE   0.2250 | val normalized MSE   0.2966, | val MAE   1.3022 | val MSE   7.4138
Epoch:  58%|█████▊    | 117/200 [51:53<36:17, 26.23s/epoch]Epoch 116 | Learning rate 0.000316 | train normalized MSE   0.2248 | val normalized MSE   0.2943, | val MAE   1.2652 | val MSE   7.3566
Epoch:  59%|█████▉    | 118/200 [52:19<35:50, 26.23s/epoch]Epoch 117 | Learning rate 0.000237 | train normalized MSE   0.2225 | val normalized MSE   0.2985, | val MAE   1.2882 | val MSE   7.4626
Epoch:  60%|█████▉    | 119/200 [52:46<35:36, 26.38s/epoch]Epoch 118 | Learning rate 0.000237 | train normalized MSE   0.2159 | val normalized MSE   0.2941, | val MAE   1.2716 | val MSE   7.3513
Epoch:  60%|██████    | 120/200 [53:12<35:02, 26.28s/epoch]Epoch 119 | Learning rate 0.000237 | train normalized MSE   0.2158 | val normalized MSE   0.2971, | val MAE   1.2837 | val MSE   7.4281
Epoch:  60%|██████    | 121/200 [53:38<34:26, 26.16s/epoch]Epoch 120 | Learning rate 0.000237 | train normalized MSE   0.2143 | val normalized MSE   0.2965, | val MAE   1.2743 | val MSE   7.4121
Epoch:  61%|██████    | 122/200 [54:04<33:57, 26.12s/epoch]Epoch 121 | Learning rate 0.000237 | train normalized MSE   0.2171 | val normalized MSE   0.2962, | val MAE   1.2692 | val MSE   7.4040
Epoch:  62%|██████▏   | 123/200 [54:30<33:27, 26.07s/epoch]Epoch 122 | Learning rate 0.000237 | train normalized MSE   0.2136 | val normalized MSE   0.2986, | val MAE   1.2714 | val MSE   7.4641
